RECORD_ID,RECORD_NAME,ARTICLE_NAME,PRODUCT_CODE,TAXONOMY,COLOR,SIZE,parent_id,level
QN0001020XL_202600,Quantum Noodle Rehydrator Ümlaut Grün,Quantum Noodle Rehydrator Ümlaut Grün,QN0001020XL,200100,Ümlaut Grün,XL,QN0001020+_202600,sku
QN0001020S_202600,Quantum Noodle Rehydrator Ümlaut Grün,Quantum Noodle Rehydrator Ümlaut Grün,QN0001020S,200100,Ümlaut Grün,S,QN0001020+_202600,sku
QN0001021+_202600,Quantum Noodle Rehydrator Mild Mauve,Quantum Noodle Rehydrator Mild Mauve,QN0001021+,200100,Mild Mauve,,QN0002$_202600,article
QN0001021XS_202600,Quantum Noodle Rehydrator Mild Mauve,Quantum Noodle Rehydrator Mild Mauve,QN0001021XS,200100,Mild Mauve,XS,QN0001021+_202600,sku
ET0003$,Existential Toaster,,ET0003$,200100,,,,master_model
ET0003$_202600,Existential Toaster,,ET0003$,200100,,,ET0003$,season
ET0001022+_202600,Existential Toaster Voidwash Black,Existential Toaster Voidwash Black,ET0001022+,200100,Voidwash Black,,ET0003$_202600,article
ET0001022L_202600,Existential Toaster Voidwash Black,Existential Toaster Voidwash Black,ET0001022L,200100,Voidwash Black,L,ET0001022+_202600,sku
ET0001023+_202600,Existential Toaster Blazing Beige,Existential Toaster Blazing Beige,ET0001023+,200100,Blazing Beige,,ET0003$_202600,article
ET000102342_202600,Existential Toaster Blazing Beige,Existential Toaster Blazing Beige,ET000102342,200100,Blazing Beige,42,ET0001023+_202600,sku
ET000102344_202600,Existential Toaster Blazing Beige,Existential Toaster Blazing Beige,ET000102344,200100,Blazing Beige,44,ET0001023+_202600,sku
ET0001023OneSize_202600,Existential Toaster Blazing Beige,Existential Toaster Blazing Beige,ET0001023OneSize,200100,Blazing Beige,OneSize,ET0001023+_202600,sku
ET0001023XS_202600,Existential Toaster Blazing Beige,Existential Toaster Blazing Beige,ET0001023XS,200100,Blazing Beige,XS,ET0001023+_202600,sku
ET0001024+_202600,Existential Toaster Panic Pink,Existential Toaster Panic Pink,ET0001024+,200100,Panic Pink,,ET0003$_202600,article
ET000102442_202600,Existential Toaster Panic Pink,Existential Toaster Panic Pink,ET000102442,200100,Panic Pink,42,ET0001024+_202600,sku
ET0001024XS_202600,Existential Toaster Panic Pink,Existential Toaster Panic Pink,ET0001024XS,200100,Panic Pink,XS,ET0001024+_202600,sku
ET0001024OneSize_202600,Existential Toaster Panic Pink,Existential Toaster Panic Pink,ET0001024OneSize,200100,Panic Pink,OneSize,ET0001024+_202600,sku
ET0001024L_202600,Existential Toaster Panic Pink,Existential Toaster Panic Pink,ET0001024L,200100,Panic Pink,L,ET0001024+_202600,sku
ET0001025+_202600,Existential Toaster Blazing Beige,Existential Toaster Blazing Beige,ET0001025+,200100,Blazing Beige,,ET0003$_202600,article
ET0001025OneSize_202600,Existential Toaster Blazing Beige,Existential Toaster Blazing Beige,ET0001025OneSize,200100,Blazing Beige,OneSize,ET0001025+_202600,sku
ET000102544_202600,Existential Toaster Blazing Beige,Existential Toaster Blazing Beige,ET000102544,200100,Blazing Beige,44,ET0001025+_202600,sku
ET0001026+_202600,Existential Toaster Panic Pink,Existential Toaster Panic Pink,ET0001026+,200100,Panic Pink,,ET0003$_202600,article
ET0001026XS_202600,Existential Toaster Panic Pink,Existential Toaster Panic Pink,ET0001026XS,200100,Panic Pink,XS,ET0001026+_202600,sku
ET0001026OneSize_202600,Existential Toaster Panic Pink,Existential Toaster Panic Pink,ET0001026OneSize,200100,Panic Pink,OneSize,ET0001026+_202600,sku
RY0004$,Reverse Yeti Whisperer,,RY0004$,100200,,,,master_model
RY0004$_202500,Reverse Yeti Whisperer,,RY0004$,100200,,,RY0004$,season
RY0001027+_202500,Reverse Yeti Whisperer Suspicious Orange,Reverse Yeti Whisperer Suspicious Orange,RY0001027+,100200,Suspicious Orange,,RY0004$_202500,article
RY0001027XL_202500,Reverse Yeti Whisperer Suspicious Orange,Reverse Yeti Whisperer Suspicious Orange,RY0001027XL,100200,Suspicious Orange,XL,RY0001027+_202500,sku
RY0001027OneSize_202500,Reverse Yeti Whisperer Suspicious Orange,Reverse Yeti Whisperer Suspicious Orange,RY0001027OneSize,100200,Suspicious Orange,OneSize,RY0001027+_202500,sku
RY0001028+_202500,Reverse Yeti Whisperer Mild Mauve,Reverse Yeti Whisperer Mild Mauve,RY0001028+,100200,Mild Mauve,,RY0004$_202500,article
RY000102844_202500,Reverse Yeti Whisperer Mild Mauve,Reverse Yeti Whisperer Mild Mauve,RY000102844,100200,Mild Mauve,44,RY0001028+_202500,sku
RY0001028OneSize_202500,Reverse Yeti Whisperer Mild Mauve,Reverse Yeti Whisperer Mild Mauve,RY0001028OneSize,100200,Mild Mauve,OneSize,RY0001028+_202500,sku
RY0001028XL_202500,Reverse Yeti Whisperer Mild Mauve,Reverse Yeti Whisperer Mild Mauve,RY0001028XL,100200,Mild Mauve,XL,RY0001028+_202500,sku
RY0001028S_202500,Reverse Yeti Whisperer Mild Mauve,Reverse Yeti Whisperer Mild Mauve,RY0001028S,100200,Mild Mauve,S,RY0001028+_202500,sku
RY0001029+_202500,Reverse Yeti Whisperer Blazing Beige,Reverse Yeti Whisperer Blazing Beige,RY0001029+,100200,Blazing Beige,,RY0004$_202500,article
RY0001029M_202500,Reverse Yeti Whisperer Blazing Beige,Reverse Yeti Whisperer Blazing Beige,RY0001029M,100200,Blazing Beige,M,RY0001029+_202500,sku
RY0001029S_202500,Reverse Yeti Whisperer Blazing Beige,Reverse Yeti Whisperer Blazing Beige,RY0001029S,100200,Blazing Beige,S,RY0001029+_202500,sku
RY0001030+_202500,Reverse Yeti Whisperer Ümlaut Grün,Reverse Yeti Whisperer Ümlaut Grün,RY0001030+,100200,Ümlaut Grün,,RY0004$_202500,article
RY0001030S_202500,Reverse Yeti Whisperer Ümlaut Grün,Reverse Yeti Whisperer Ümlaut Grün,RY0001030S,100200,Ümlaut Grün,S,RY0001030+_202500,sku
RY0001030XL_202500,Reverse Yeti Whisperer Ümlaut Grün,Reverse Yeti Whisperer Ümlaut Grün,RY0001030XL,100200,Ümlaut Grün,XL,RY0001030+_202500,sku
RY0001030XS_202500,Reverse Yeti Whisperer Ümlaut Grün,Reverse Yeti Whisperer Ümlaut Grün,RY0001030XS,100200,Ümlaut Grün,XS,RY0001030+_202500,sku
RY0001030OneSize_202500,Reverse Yeti Whisperer Ümlaut Grün,Reverse Yeti Whisperer Ümlaut Grün,RY0001030OneSize,100200,Ümlaut Grün,OneSize,RY0001030+_202500,sku
RY0001031+_202500,Reverse Yeti Whisperer Existential Teal,Reverse Yeti Whisperer Existential Teal,RY0001031+,100200,Existential Teal,,RY0004$_202500,article
RY000103142_202500,Reverse Yeti Whisperer Existential Teal,Reverse Yeti Whisperer Existential Teal,RY000103142,100200,Existential Teal,42,RY0001031+_202500,sku
RY0001031XL_202500,Reverse Yeti Whisperer Existential Teal,Reverse Yeti Whisperer Existential Teal,RY0001031XL,100200,Existential Teal,XL,RY0001031+_202500,sku
RY000103144_202500,Reverse Yeti Whisperer Existential Teal,Reverse Yeti Whisperer Existential Teal,RY000103144,100200,Existential Teal,44,RY0001031+_202500,sku
RY0001031OneSize_202500,Reverse Yeti Whisperer Existential Teal,Reverse Yeti Whisperer Existential Teal,RY0001031OneSize,100200,Existential Teal,OneSize,RY0001031+_202500,sku
TS0005$,Turbo Sock Untangler,,TS0005$,100200,,,,master_model
TS0005$_202600,Turbo Sock Untangler,,TS0005$,100200,,,TS0005$,season
TS0001032+_202600,Turbo Sock Untangler Voidwash Black,Turbo Sock Untangler Voidwash Black,TS0001032+,100200,Voidwash Black,,TS0005$_202600,article
TS0001032M_202600,Turbo Sock Untangler Voidwash Black,Turbo Sock Untangler Voidwash Black,TS0001032M,100200,Voidwash Black,M,TS0001032+_202600,sku
TS0001032L_202600,Turbo Sock Untangler Voidwash Black,Turbo Sock Untangler Voidwash Black,TS0001032L,100200,Voidwash Black,L,TS0001032+_202600,sku
TS0001032XS_202600,Turbo Sock Untangler Voidwash Black,Turbo Sock Untangler Voidwash Black,TS0001032XS,100200,Voidwash Black,XS,TS0001032+_202600,sku
TS000103244_202600,Turbo Sock Untangler Voidwash Black,Turbo Sock Untangler Voidwash Black,TS000103244,100200,Voidwash Black,44,TS0001032+_202600,sku
TS0001033+_202600,Turbo Sock Untangler Existential Teal,Turbo Sock Untangler Existential Teal,TS0001033+,100200,Existential Teal,,TS0005$_202600,article
TS000103342_202600,Turbo Sock Untangler Existential Teal,Turbo Sock Untangler Existential Teal,TS000103342,100200,Existential Teal,42,TS0001033+_202600,sku
TS0001033S_202600,Turbo Sock Untangler Existential Teal,Turbo Sock Untangler Existential Teal,TS0001033S,100200,Existential Teal,S,TS0001033+_202600,sku
TS0001034+_202600,Turbo Sock Untangler Beige²,Turbo Sock Untangler Beige²,TS0001034+,100200,Beige²,,TS0005$_202600,article
TS0001034L_202600,Turbo Sock Untangler Beige²,Turbo Sock Untangler Beige²,TS0001034L,100200,Beige²,L,TS0001034+_202600,sku
TS0001034S_202600,Turbo Sock Untangler Beige²,Turbo Sock Untangler Beige²,TS0001034S,100200,Beige²,S,TS0001034+_202600,sku
TS0001035+_202600,Turbo Sock Untangler Existential Teal,Turbo Sock Untangler Existential Teal,TS0001035+,100200,Existential Teal,,TS0005$_202600,article
TS0001035XS_202600,Turbo Sock Untangler Existential Teal,Turbo Sock Untangler Existential Teal,TS0001035XS,100200,Existential Teal,XS,TS0001035+_202600,sku
TS0001035M_202600,Turbo Sock Untangler Existential Teal,Turbo Sock Untangler Existential Teal,TS0001035M,100200,Existential Teal,M,TS0001035+_202600,sku
TS0001035XL_202600,Turbo Sock Untangler Existential Teal,Turbo Sock Untangler Existential Teal,TS0001035XL,100200,Existential Teal,XL,TS0001035+_202600,sku
TS0001036+_202600,Turbo Sock Untangler Existential Teal,Turbo Sock Untangler Existential Teal,TS0001036+,100200,Existential Teal,,TS0005$_202600,article
TS0001036L_202600,Turbo Sock Untangler Existential Teal,Turbo Sock Untangler Existential Teal,TS0001036L,100200,Existential Teal,L,TS0001036+_202600,sku
TS0001037+_202600,Turbo Sock Untangler Suspicious Orange,Turbo Sock Untangler Suspicious Orange,TS0001037+,100200,Suspicious Orange,,TS0005$_202600,article
TS000103744_202600,Turbo Sock Untangler Suspicious Orange,Turbo Sock Untangler Suspicious Orange,TS000103744,100200,Suspicious Orange,44,TS0001037+_202600,sku
TS0001037OneSize_202600,Turbo Sock Untangler Suspicious Orange,Turbo Sock Untangler Suspicious Orange,TS0001037OneSize,100200,Suspicious Orange,OneSize,TS0001037+_202600,sku
TS0001038+_202600,Turbo Sock Untangler Beige²,Turbo Sock Untangler Beige²,TS0001038+,100200,Beige²,,TS0005$_202600,article
TS0001038S_202600,Turbo Sock Untangler Beige²,Turbo Sock Untangler Beige²,TS0001038S,100200,Beige²,S,TS0001038+_202600,sku
TS0001038M_202600,Turbo Sock Untangler Beige²,Turbo Sock Untangler Beige²,TS0001038M,100200,Beige²,M,TS0001038+_202600,sku
TS0001038XS_202600,Turbo Sock Untangler Beige²,Turbo Sock Untangler Beige²,TS0001038XS,100200,Beige²,XS,TS0001038+_202600,sku
TS0001039+_202600,Turbo Sock Untangler Existential Teal,Turbo Sock Untangler Existential Teal,TS0001039+,100200,Existential Teal,,TS0005$_202600,article
TS0001039S_202600,Turbo Sock Untangler Existential Teal,Turbo Sock Untangler Existential Teal,TS0001039S,100200,Existential Teal,S,TS0001039+_202600,sku
TS0001039XL_202600,Turbo Sock Untangler Existential Teal,Turbo Sock Untangler Existential Teal,TS0001039XL,100200,Existential Teal,XL,TS0001039+_202600,sku
TS0001039OneSize_202600,Turbo Sock Untangler Existential Teal,Turbo Sock Untangler Existential Teal,TS0001039OneSize,100200,Existential Teal,OneSize,TS0001039+_202600,sku
TS0001040+_202600,Turbo Sock Untangler Existential Teal,Turbo Sock Untangler Existential Teal,TS0001040+,100200,Existential Teal,,TS0005$_202600,article
TS0001040XS_202600,Turbo Sock Untangler Existential Teal,Turbo Sock Untangler Existential Teal,TS0001040XS,100200,Existential Teal,XS,TS0001040+_202600,sku
TS0001040M_202600,Turbo Sock Untangler Existential Teal,Turbo Sock Untangler Existential Teal,TS0001040M,100200,Existential Teal,M,TS0001040+_202600,sku
TS0001040XL_202600,Turbo Sock Untangler Existential Teal,Turbo Sock Untangler Existential Teal,TS0001040XL,100200,Existential Teal,XL,TS0001040+_202600,sku
TS0001040L_202600,Turbo Sock Untangler Existential Teal,Turbo Sock Untangler Existential Teal,TS0001040L,100200,Existential Teal,L,TS0001040+_202600,sku
PA0006$,Passive Aggressive Kettle,,PA0006$,100100,,,,master_model
PA0006$_202500,Passive Aggressive Kettle,,PA0006$,100100,,,PA0006$,season
PA0001041+_202500,Passive Aggressive Kettle Blazing Beige,Passive Aggressive Kettle Blazing Beige,PA0001041+,100100,Blazing Beige,,PA0006$_202500,article
PA0001041L_202500,Passive Aggressive Kettle Blazing Beige,Passive Aggressive Kettle Blazing Beige,PA0001041L,100100,Blazing Beige,L,PA0001041+_202500,sku
PA0001041M_202500,Passive Aggressive Kettle Blazing Beige,Passive Aggressive Kettle Blazing Beige,PA0001041M,100100,Blazing Beige,M,PA0001041+_202500,sku
PA0001042+_202500,Passive Aggressive Kettle Suspicious Orange,Passive Aggressive Kettle Suspicious Orange,PA0001042+,100100,Suspicious Orange,,PA0006$_202500,article
PA0001042XS_202500,Passive Aggressive Kettle Suspicious Orange,Passive Aggressive Kettle Suspicious Orange,PA0001042XS,100100,Suspicious Orange,XS,PA0001042+_202500,sku
PA0001042M_202500,Passive Aggressive Kettle Suspicious Orange,Passive Aggressive Kettle Suspicious Orange,PA0001042M,100100,Suspicious Orange,M,PA0001042+_202500,sku
PA0001042OneSize_202500,Passive Aggressive Kettle Suspicious Orange,Passive Aggressive Kettle Suspicious Orange,PA0001042OneSize,100100,Suspicious Orange,OneSize,PA0001042+_202500,sku
PA0001043+_202500,Passive Aggressive Kettle Ümlaut Grün,Passive Aggressive Kettle Ümlaut Grün,PA0001043+,100100,Ümlaut Grün,,PA0006$_202500,article
PA0001043OneSize_202500,Passive Aggressive Kettle Ümlaut Grün,Passive Aggressive Kettle Ümlaut Grün,PA0001043OneSize,100100,Ümlaut Grün,OneSize,PA0001043+_202500,sku
PA0001043S_202500,Passive Aggressive Kettle Ümlaut Grün,Passive Aggressive Kettle Ümlaut Grün,PA0001043S,100100,Ümlaut Grün,S,PA0001043+_202500,sku
PA0001044+_202500,Passive Aggressive Kettle Radioactive Sage,Passive Aggressive Kettle Radioactive Sage,PA0001044+,100100,Radioactive Sage,,PA0006$_202500,article
PA0001044L_202500,Passive Aggressive Kettle Radioactive Sage,Passive Aggressive Kettle Radioactive Sage,PA0001044L,100100,Radioactive Sage,L,PA0001044+_202500,sku
PA0001044S_202500,Passive Aggressive Kettle Radioactive Sage,Passive Aggressive Kettle Radioactive Sage,PA0001044S,100100,Radioactive Sage,S,PA0001044+_202500,sku
PA0001044M_202500,Passive Aggressive Kettle Radioactive Sage,Passive Aggressive Kettle Radioactive Sage,PA0001044M,100100,Radioactive Sage,M,PA0001044+_202500,sku
PA0001045+_202500,Passive Aggressive Kettle Blazing Beige,Passive Aggressive Kettle Blazing Beige,PA0001045+,100100,Blazing Beige,,PA0006$_202500,article
PA0001045XS_202500,Passive Aggressive Kettle Blazing Beige,Passive Aggressive Kettle Blazing Beige,PA0001045XS,100100,Blazing Beige,XS,PA0001045+_202500,sku
PA0001045OneSize_202500,Passive Aggressive Kettle Blazing Beige,Passive Aggressive Kettle Blazing Beige,PA0001045OneSize,100100,Blazing Beige,OneSize,PA0001045+_202500,sku
PA0001046+_202500,Passive Aggressive Kettle Radioactive Sage,Passive Aggressive Kettle Radioactive Sage,PA0001046+,100100,Radioactive Sage,,PA0006$_202500,article
PA0001046L_202500,Passive Aggressive Kettle Radioactive Sage,Passive Aggressive Kettle Radioactive Sage,PA0001046L,100100,Radioactive Sage,L,PA0001046+_202500,sku
PA000104642_202500,Passive Aggressive Kettle Radioactive Sage,Passive Aggressive Kettle Radioactive Sage,PA000104642,100100,Radioactive Sage,42,PA0001046+_202500,sku
PA0001046M_202500,Passive Aggressive Kettle Radioactive Sage,Passive Aggressive Kettle Radioactive Sage,PA0001046M,100100,Radioactive Sage,M,PA0001046+_202500,sku
